address,types,range,values,description
/ch/{01..18}/grp/mute,i,0-,%0000,"Channel mutegroup assignment"
/ch/{01..18}/insert/fxslot,i,{0..8},"OFF, FX1A, FX1B, FX2A, FX2B, FX3A, FX3B, FX4A, FX4B","Channel insert assignment"
/ch/{01..18}/insert/on,i,{0..1},"OFF, ON","Channel insert Off/On"
/ch/{01..18}/mix/01/grpon,i,{0..1},"OFF, ON","Channel mixbus sends group Off/On"
/ch/{01..18}/mix/01/level,f,{0.0..1.0},{-INF..10},"Channel mixbus sends level"
/ch/{01..18}/mix/01/pan,f,{0.0..1.0},{-100..100},"Channel mixbus sends pan"
/ch/{01..18}/mix/01/tap,i,{0..5},"IN, PREEQ, POSTEQ, PRE, POST, GRP","Channel mixbus sends tap"
/ch/{01..18}/mix/fader,f,{0.0..1.0},{-INF..10},"Channel fader level"
/ch/{01..18}/mix/lr,i,{0..1},"OFF, ON","Channel LR assignment"
/ch/{01..18}/mix/on,i,{0..1},"OFF, ON","Channel mute"
/ch/{01..18}/mix/pan,f,{0.0..1.0},{-100..100},"Channel pan value"
/ch/{01..18}/preamp/hpf,f,{0.0..1.0},{20..200},"Channel low cut frequency (hz)"
/ch/{01..18}/preamp/hpon,i,{0..1},"OFF, ON","Channel low cut off/on"
/ch/{01..18}/preamp/invert,i,{0..1},"OFF, ON","Channel preamp invert"
/ch/{01..18}/preamp/rtnsw,i,{0..1},"OFF, ON","Channel Return switch (preamp/USB)"
/ch/{01..18}/preamp/rtntrim,f,{0.0..1.0},{-18..18},"Channel USB preamp trim"
/config/amixenable/X,i,{0..1},"OFF, ON","Automix - Group X Off/On"
/config/amixenable/Y,i,{0..1},"OFF, ON","Automix - Group Y Off/On"
/config/amixlock/X,i,{0..1},"OFF, ON","Automix - Lock X Off/On"
/config/amixlock/Y,i,{0..1},"OFF, ON","Automix - Lock Y Off/On"
/config/buslink/1-2,i,{0..2},"1-2, 2-4, 5-6","Bus links (odd/even pairs 1-2, 3-4, etc)"
/config/chlink/1-2,i,{0..7},"1-2, 3-4, 5-6, 7-8, 9-10, 11-12, 13-14, 15-16","Channel links"
/config/linkcfg/dyn,i,{0..1},"OFF, ON","Link Pref - Dyn"
/config/linkcfg/eq,i,{0..1},"OFF, ON","Link Pref - EQ"
/config/linkcfg/fdrmute,i,{0..1},"OFF, ON","Link Pref - Fader, Mute, Sends"
